mask_method,asym_masked_token_ratio,sym_masked_token_ratio,sym_masked_atom_ratio
token,0.8921348314606742,0.8921348314606742,0.4930217461863031
token,0.8921348314606742,0.8921348314606742,0.4930217461863031
token,0.8921348314606742,0.8921348314606742,0.4930217461863031
entity,0.9399477806788512,0.9399477806788512,0.5006825938566553
entity,0.7103448275862069,0.7103448275862069,0.4891347293559858
token,0.8921348314606742,0.8921348314606742,0.4930217461863031
token,0.8921348314606742,0.8921348314606742,0.4930217461863031
token,0.8921348314606742,0.8921348314606742,0.4930217461863031
token,0.8921348314606742,0.8921348314606742,0.4930217461863031
entity,0.9399477806788512,0.9399477806788512,0.5006825938566553
entity,0.7103448275862069,0.7103448275862069,0.4891347293559858
atom,1.0,1.0,0.4479407681628875
atom,0.6584507042253521,0.6584507042253521,0.43102625298329356
entity,0.8888888888888888,0.8888888888888888,0.45260115606936413
token,0.053125,0.2359375,0.11874745831638878
token,0.8113522537562604,0.9782971619365609,0.5074074074074074
token,0.140625,0.9140625,0.45307570977917977
atom,1.0,1.0,0.33013871374527115
token,0.48048780487804876,0.7292682926829268,0.34245723172628306
entity,0.09513274336283185,0.09513274336283185,0.0
entity,0.08125,0.08125,0.0
all,1.0,1.0,0.4998927728929874
entity,0.20625,0.20625,0.0
atom,1.0,1.0,0.4397453878519797
atom,1.0,1.0,0.438666387083246
atom,1.0,1.0,0.4376005146349309
entity,0.0953125,0.0953125,0.058654340010272255
atom,1.0,1.0,0.4486803519061584
atom,1.0,1.0,0.46803227808814396
token,0.5671875,0.5671875,0.2883003048780488
token,0.4140625,0.4890625,0.2456392366098913
atom,1.0,1.0,0.4308789595133208
token,0.4452054794520548,0.4452054794520548,0.22924721400955195
token,0.56875,0.56875,0.23877028181041848
atom,1.0,1.0,0.3603517491875359
token,0.8055555555555556,0.8447712418300654,0.43346267975348096
entity,0.975,0.975,0.4807056229327453
entity,0.0546875,0.0546875,0.0
atom,0.9828125,0.9828125,0.45913043478260873
token,0.25951557093425603,0.4602076124567474,0.2576932111815833
atom,1.0,1.0,0.4324569356300997
all,1.0,1.0,0.43661971830985913
atom,1.0,1.0,0.4455445544554455
entity,0.06451612903225806,0.06451612903225806,0.0
atom,1.0,1.0,0.42713404738721195
atom,1.0,1.0,0.4510721247563353
all,1.0,1.0,0.4945840554592721
entity,0.12173913043478261,0.12173913043478261,0.08105872622001653
token,0.9765625,0.9765625,0.47314049586776863
entity,0.196875,0.196875,0.0
token,0.6443298969072165,0.8762886597938144,0.42471530999578233
entity,0.0058823529411764705,0.0058823529411764705,0.0
atom,1.0,1.0,0.4234672304439746
entity,0.4578125,0.4578125,0.22359227291409778
